oid,dataset_id,provider_name,Species,common_name,lat,lon,date,year,date_string
17819385,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,45.10,138.0,8/26/2011,2011,20110826
17819386,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,45.29,138.1,8/28/2011,2011,20110828
17819389,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,45.39,138.0,8/18/2011,2011,20110818
17819390,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,45.5,138.0,8/18/2011,2011,20110818
17819391,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,45.5,138.3,8/18/2011,2011,20110818
17819394,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,45.60,138.5,8/30/2011,2011,20110830
17819395,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,45.70,138.6,8/30/2011,2011,20110830
17819396,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,45.60,138.9,9/3/2011,2011,20110903
17819400,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,45.20,139.4,10/17/2011,2011,20111017
17819403,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,45.70,139.0,9/1/2011,2011,20110901
17819405,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,45.89,139.4,9/9/2011,2011,20110909
17819406,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,45.89,139.4,9/9/2011,2011,20110909
17819415,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,46.20,138.5,8/26/2011,2011,20110826
17819416,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,46.29,138.5,8/26/2011,2011,20110826
17819418,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,46.20,138.6,8/28/2011,2011,20110828
17819420,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,46.10,139.5,10/9/2011,2011,20111009
17819427,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,46.60,139.8,10/3/2011,2011,20111003
17819428,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,46.60,139.8,10/3/2011,2011,20111003
17819429,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,46.79,139.8,8/27/2011,2011,20110827
17819430,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,46.79,139.8,8/27/2011,2011,20110827
17819458,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.79,140.3,9/30/2011,2011,20110930
17819459,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.89,140.4,9/24/2011,2011,20110924
17819462,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.89,140.4,9/26/2011,2011,20110926
17819463,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.70,142,8/3/2011,2011,20110803
17819465,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.20,142.0,9/29/2011,2011,20110929
17819466,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.20,142.1,9/30/2011,2011,20110930
17819467,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40.20,142.3,10/3/2011,2011,20111003
17819473,320,NOAA Pacific Islands Fisheries Science Center (PIFSC),Caretta caretta,Loggerhead,40,142.6,9/19/2011,2011,20110919
